Essai;Haut 0,2;Haut 0,5;Haut 0,8;Bas 0,2;Bas 0,5;Bas 0,8;Gauche 0,2;Gauche 0,5;Gauche 0,8;Droite 0,2;Droite 0,5;Droite 0,8;Column1
essai0;0,49;0,48;0,39;0,43;0,42;0,41;0,45;0,39;0,39;0,48;0,45;0,41;
essai1;0,45;0,41;0,38;0,53;0,44;0,44;0,42;0,37;0,39;0,38;0,42;0,42;
essai2;0,45;0,39;0,41;0,45;0,55;0,38;0,43;0,37;0,41;0,43;0,39;0,38;
essai3;0,38;0,39;0,36;0,42;0,36;0,41;0,4;0,39;0,42;0,5;0,39;0,41;
essai4;0,4;0,42;0,41;0,38;0,4;0,39;0,42;0,41;0,35;0,51;0,47;0,41;
essai5;0,4;0,4;0,45;0,43;0,45;0,36;0,37;0,42;0,36;0,48;0,44;0,39;
essai6;0,4;0,42;0,53;0,42;0,4;0,36;0,45;0,41;0,58;0,51;0,45;0,39;
essai7;0,46;0,44;0,44;0,42;0,4;0,39;0,53;0,42;0,62;0,48;0,43;0,4;
essai8;0,45;0,44;0,46;0,45;0,44;0,52;0,48;0,41;0,43;0,43;0,42;0,76;
essai9;0,4;0,37;0,44;0,47;0,47;0,39;0,4;0,42;0,46;0,5;0,42;0,44;
moy;0,43;0,42;0,43;0,44;0,43;0,4;0,44;0,4;0,44;0,47;0,43;0,44;
ET;0,03;0,03;0,05;0,04;0,05;0,04;0,04;0,02;0,09;0,04;0,03;0,11;
CV;0,08;0,07;0,11;0,08;0,11;0,11;0,1;0,05;0,2;0,08;0,06;0,24;
;;;;;;;;;;;;;
moy;0,43;;;;;;;;;;;;
CV;0,11;;;;;;;;;;;;
;;;;;;;;;;;;;
