Essai;Haut 0.2;Haut 0.5;Haut 0.8;Bas 0.2;Bas 0.5;Bas 0.8;Gauche 0.2;Gauche 0.5;Gauche 0.8;Droite 0.2;Droite 0.5;Droite 0.8
essai0;0.5003276001662016;0.4203247001860291;0.4080646999645978;0.416046499973163;0.4356770000886172;0.4201887999661267;0.38662939984351397;0.3588137999176979;0.3305378998629749;0.4657098001334816;0.43191280006431043;0.3912768999580294
essai1;0.4647156000137329;0.4051297002006322;0.42307680007070303;0.43341549998149276;0.4700255999341607;0.3924577001016587;0.40249820007011294;0.42125440016388893;0.4238587999716401;0.4655591999180615;0.3738898001611233;0.4043322999496013
essai2;0.46545019978657365;0.43591379979625344;0.42386130010709167;0.4793259999714792;0.3724847000557929;0.408160800114274;0.41706549981608987;0.3898102000821382;0.6824294999241829;0.464848899981007;0.4047240999061614;0.4234621999785304
essai3;0.41528309998102486;0.45196159998886287;0.48811439983546734;0.5111394999548793;0.3569871000945568;0.4876166000030935;0.45039169979281723;0.3750420000869781;0.437531900126487;0.46389300003647804;0.4174238999839872;0.4228513000998646
essai4;0.3527827998623252;0.35753199993632734;0.40658710012212396;0.41420140000991523;0.4049086000304669;0.32869420014321804;0.41854139999486506;0.32738519995473325;0.3632352000568062;0.46329680015332997;0.35564370010979474;0.40851440001279116
essai5;0.3530045000370592;0.38584189978428185;0.35213210014626384;0.39991949987597764;0.356635499978438;0.3600708998274058;0.38689800002612174;0.4314787001349032;0.37770549999549985;0.42914119991473854;0.34113209997303784;0.32824279996566474
essai6;0.48066190001554787;0.38741720002144575;0.47153400001116097;0.4491291001904756;0.3417515999171883;0.4225033998955041;0.4513851997908205;0.44945150008425117;0.3618799999821931;0.3351650999393314;0.6603055999148637;0.502226100070402
essai7;0.4182414999231696;0.33953580004163086;0.330048699863255;0.33764160005375743;0.37187570007517934;0.4393555000424385;0.4347671000286937;0.35934030008502305;0.36057270015589893;0.36820199992507696;0.40370570006780326;0.3584839999675751
essai8;0.3221971997991204;0.3415722001809627;0.3899391000159085;0.3687009001150727;0.3568287999369204;0.4726388999260962;0.40184940001927316;0.32693940005265176;0.37450779997743666;0.6094243000261486;0.34108849987387657;0.3604232999496162
essai9;0.3692431999370456;0.32585699995979667;0.5323288000654429;0.3051507999189198;0.31075789988972247;0.42444410012103617;0.4179747998714447;0.334389999974519;0.3139760000631213;0.4006592999212444;0.3732616000343114;0.3577573001384735
