Essai;Haut 0,2;Haut 0,5;Haut 0,8;Bas 0,2;Bas 0,5;Bas 0,8;Gauche 0,2;Gauche 0,5;Gauche 0,8;Droite 0,2;Droite 0,5;Droite 0,8;
essai0;0,48;0,44;0,39;0,47;0,39;0,36;0,44;0,42;0,40;0,46;0,35;0,46;
essai1;0,43;0,48;0,34;0,33;0,62;0,37;0,45;0,35;0,34;0,35;0,39;0,37;
essai2;0,36;0,40;0,33;0,38;0,34;0,31;0,48;0,38;0,37;0,40;0,36;0,39;
essai3;0,45;0,32;0,36;0,45;0,34;0,32;0,37;0,36;0,36;0,46;0,37;0,44;
essai4;0,42;0,43;0,39;0,38;0,39;0,29;0,43;0,38;0,35;0,60;0,34;0,35;
essai5;0,42;0,34;0,41;0,38;0,36;0,28;0,42;0,33;0,30;0,37;0,34;0,41;
essai6;0,51;0,32;0,44;0,37;0,37;0,37;0,40;0,38;0,35;0,45;0,35;0,31;
essai7;0,35;0,37;0,34;0,33;0,31;0,33;0,40;0,29;0,31;0,39;0,39;0,35;
essai8;0,43;0,29;0,41;0,40;0,37;0,32;0,44;0,28;0,33;0,40;0,42;0,36;
essai9;0,36;0,34;0,36;0,33;0,34;0,33;0,37;0,31;0,50;0,37;0,32;0,36;
moy;0,42;0,37;0,38;0,38;0,38;0,33;0,42;0,35;0,36;0,43;0,36;0,38;
ET;0,05;0,06;0,03;0,04;0,08;0,03;0,03;0,04;0,05;0,07;0,03;0,04;
CV;0,11;0,15;0,09;0,11;0,22;0,09;0,08;0,13;0,15;0,17;0,07;0,11;
;;;;;;;;;;;;;
Moy haut bas;0,38;;;;;;;;;;;;
Moy Droite gauche;0,38;;;;;;;;;;;;
CV;0,12;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
