Essai;400;600;800;1000;1200;1400;
Essai0;0,19;0,45;0,82;0,83;1,10;1,12;
Essai1;0,32;0,56;0,58;0,78;1,15;1,18;
Essai2;0,27;0,62;0,72;0,70;1,01;1,36;
Essai3;0,18;0,42;0,91;0,82;0,90;1,04;
Essai4;0,29;0,48;0,91;0,91;1,04;1,10;
Essai5;0,40;0,67;0,91;0,96;0,93;1,23;
Essai6;0,29;0,42;0,59;1,01;0,90;1,18;
Essai7;0,34;0,66;0,58;0,61;0,99;1,18;
Essai8;0,38;0,58;0,42;0,96;1,07;1,28;
Essai9;0,22;0,69;0,86;0,56;1,02;0,99;
moy;0,29;0,55;0,73;0,81;1,01;1,17;
ET;0,07;0,10;0,17;0,14;0,08;0,10;
CV;0,25;0,18;0,23;0,18;0,08;0,09;
;0,17;;;;;;
diff;0,11;0,05;0,07;0,19;0,19;0,23;
;0,14;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
