Column1;MDDV;MDDF;MDGV;MDGF;VMDV;VMDF;VMGV;VMGF;RTDV;RTDF;RTGV;RTGF;
Essai0;0,9;1,05;0,98;1,08;5040;3480;5640;3720;0,35;0,43;0,47;0,4;
Essai1;0,83;1,15;0,78;0,75;2580;1800;2220;2220;0,3;0,52;0,32;0,32;
Essai2;0,75;0,92;0,83;1,07;5520;3120;2820;2760;0,35;0,42;0,37;0,45;
Essai3;0,82;1,38;1,18;0,93;3000;3360;5940;2100;0,38;0,72;0,37;0,37;
Essai4;0,87;0,88;1,05;0,82;2580;3000;2820;2580;0,43;0,43;0,3;0,37;
Essai5;0,8;1,07;1,23;0,92;3960;4260;2880;3000;0,38;0,62;0,35;0,42;
Essai6;1,08;1,05;0,9;1,22;2160;2460;2400;1920;0,33;0,5;0,38;0,55;
Essai7;1,08;0,92;0,93;1,18;2220;2160;2700;2760;0,5;0,43;0,4;0,58;
Essai8;0,87;1,1;0,88;1,02;3180;2580;4320;2700;0,32;0,57;0,38;0,42;
Essai9;0,85;0,93;0,97;1,3;3060;1920;5820;4560;0,37;0,45;0,47;0,68;
Essai10;1,1;1,08;0,9;1,08;4380;2160;5100;2580;0,32;0,57;0,35;0,48;
Essai11;0,8;1;0,9;1,02;3000;2160;2820;3420;0,35;0,45;0,4;0,53;
Essai12;0,85;0,87;1,22;1,27;4800;2340;4200;2880;0,33;0,38;0,43;0,6;
Essai13;0,8;0,98;0,8;0,92;3660;2580;4140;1920;0,3;0,5;0,33;0,4;
Essai14;0,8;1,03;1,05;1,02;3360;2520;2700;3660;0,32;0,43;0,43;0,55;
Essai15;0,95;1,35;1,67;0,82;3060;5100;2700;2820;0,27;0,55;0,4;0,38;
Essai16;0,97;1,1;0,95;0,88;3480;3240;2820;2220;0,28;0,53;0,43;0,37;
Essai17;0,78;0,95;1,32;1,15;3540;3180;4800;4500;0,33;0,48;0,43;0,55;
Essai18;1,55;1,15;1,02;1,4;2700;2460;3720;2460;0,4;0,57;0,35;0,55;
Essai19;0,8;1,05;1,05;0,87;3120;2880;3000;2040;0,32;0,43;0,4;0,38;
Essai20;1,13;;0,87;;3360;;3480;;0,32;;0,35;;
Essai21;0,92;;0,85;;4080;;4500;;0,37;;0,33;;
Essai22;1;;0,85;;2880;;3900;;0,3;;0,37;;
Essai23;0,8;;1,15;;2580;;2700;;0,1;;0,37;;
Essai24;0,68;;0,98;;2880;;2040;;0,27;;0,35;;
Essai25;0,92;;0,85;;3000;;3000;;0,35;;0,42;;
Essai26;0,8;;0,93;;2700;;2760;;0,33;;0,45;;
Essai27;1,23;;0,77;;2160;;3780;;0,37;;0,38;;
Essai28;0,75;;0,67;;2160;;2700;;0,3;;0,32;;
Essai29;1,08;;0,9;;1620;;2460;;0,45;;0,4;;
Essai30;2,78;;0,95;;3000;;2880;;2,32;;0,4;;
Essai31;1;;0,75;;2580;;2520;;0,4;;0,33;;
Essai32;1,3;;1,55;;5280;;2700;;0,75;;0,38;;
Essai33;0,98;;1,17;;1680;;2700;;0,35;;0,37;;
Essai34;0,77;;0,87;;2580;;4140;;0,33;;0,35;;
Essai35;0,85;;0,97;;3420;;2340;;0,37;;0,07;;
Essai36;0,68;;1,07;;3480;;3120;;0,3;;0,38;;
Essai37;0,82;;0,92;;2760;;5580;;0,33;;0,42;;
Essai38;0,72;;0,97;;2820;;5280;;0,27;;0,4;;
Essai39;0,88;;0,82;;3540;;1920;;0,4;;0,38;;
Essai40;0,87;;1,03;;4020;;5040;;0,32;;0,38;;
Essai41;0,83;;0,98;;4320;;6360;;0,35;;0,42;;
Essai42;0,73;;0,82;;3060;;3660;;0,3;;0,33;;
Essai43;0,93;;1,17;;3540;;3540;;0,35;;0,4;;
Essai44;1,08;;1,07;;3960;;2880;;0,37;;0,37;;
Essai45;0,9;;0,87;;5400;;2820;;0,33;;0,4;;
Essai46;0,93;;0,92;;3600;;1860;;0,37;;0,42;;
Essai47;1,43;;0,95;;2760;;3720;;0,7;;0,42;;
Essai48;0,72;;0,92;;3540;;4800;;0,32;;0,38;;
Essai49;1;;0,9;;2880;;5520;;0,3;;0,33;;
Essai50;0,8;;0,95;;2040;;6240;;0,3;;0,32;;
Essai51;0,9;;0,73;;3540;;3180;;0,35;;0,4;;
Essai52;1,08;;0,65;;2340;;4500;;0,42;;0,35;;
Essai53;1;;0,82;;2100;;2040;;0,35;;0,33;;
Essai54;1,07;;1,57;;2340;;3000;;0,42;;0,52;;
Essai55;0,83;;1;;3660;;4800;;0,35;;0,38;;
Essai56;0,85;;0,8;;3240;;3540;;0,3;;0,42;;
Essai57;1,03;;0,85;;2820;;5100;;0,38;;0,35;;
Essai58;0,77;;0,77;;4560;;7560;;0,27;;0,37;;
Essai59;0,92;;1,82;;4200;;1740;;0,32;;0,02;;
;;;;;;;;;;;;;
Moyenne;0,950166667;1,0505;0,984333333;1,036;3248;2838;3666;2841;0,384666667;0,499;0,3715;MoyenneRTvrai;0,378083333
ET;0,292047323;0,132758239;0,225243325;0,172551442;880,8268842;783,4768663;1311,412978;757,8251777;0,267023511;0,081234229;0,073684576;;
CV;0,307364311;0,126376239;0,228828302;0,166555446;0,271190543;0,276066549;0,357723126;0,266745927;0,694168573;0,162794047;0,198343406;;
