Column1;MDDV;MDDF;MDGV;MDGF;VMDV;VMDF;VMGV;VMGF;RTDV;RTDF;RTGV;RTGF
Essai0;0,97;1,12;0,18;1,13;3840,00;3660,00;0,00;2400,00;0,37;0,35;0,00;0,33
Essai1;1,33;1,30;1,32;1,05;2580,00;2340,00;1380,00;2820,00;0,37;0,33;0,30;0,38
Essai2;0,88;1,02;1,25;1,03;2760,00;2040,00;2700,00;3120,00;0,37;0,32;0,33;0,37
Essai3;1,40;1,23;1,35;1,43;3840,00;2160,00;1920,00;2040,00;0,35;0,37;0,30;0,40
Essai4;1,02;1,28;1,05;1,12;4920,00;1560,00;1920,00;3960,00;0,30;0,37;0,35;0,38
Essai5;0,87;0,97;1,37;1,37;2580,00;2760,00;2160,00;2700,00;0,33;0,35;0,30;0,38
Essai6;0,93;0,98;0,97;1,15;2160,00;2040,00;1800,00;3180,00;0,33;0,33;0,32;0,43
Essai7;0,95;1,25;1,02;1,00;3120,00;2040,00;2460,00;3420,00;0,35;0,30;0,37;0,38
Essai8;0,98;0,90;0,90;1,18;3840,00;3120,00;2700,00;3000,00;0,43;0,35;0,35;0,32
Essai9;1,10;1,18;1,37;2,43;2700,00;1800,00;2580,00;2580,00;0,37;0,30;0,45;0,47
Essai10;1,32;1,12;1,00;0,90;2580,00;3000,00;2040,00;3000,00;0,33;0,48;0,37;0,40
Essai11;1,35;1,22;1,15;1,15;2340,00;3960,00;1740,00;3360,00;0,48;0,33;0,38;0,38
Essai12;0,97;0,98;1,13;0,97;2460,00;4500,00;2460,00;4200,00;0,28;0,35;0,37;0,32
Essai13;1,18;0,93;1,02;0,97;2340,00;3600,00;2580,00;4320,00;0,33;0,32;0,33;0,35
Essai14;0,83;1,03;1,05;0,82;1860,00;5580,00;2340,00;2160,00;0,32;0,53;0,48;0,28
Essai15;1,37;1,15;1,23;0,87;2460,00;3180,00;1800,00;3600,00;0,45;0,45;0,35;0,37
Essai16;1,30;1,37;1,23;1,08;1560,00;3420,00;2340,00;2340,00;0,37;0,43;0,35;0,37
Essai17;0,93;1,27;1,32;1,15;2280,00;2160,00;2940,00;2340,00;0,35;0,48;0,45;0,18
Essai18;1,02;1,08;1,63;1,03;3600,00;3000,00;3120,00;5040,00;0,43;0,37;0,42;0,50
Essai19;0,92;1,07;1,27;0,83;2820,00;2520,00;1800,00;4980,00;0,42;0,43;0,28;0,33
Essai20;1,10;;1,17;;2340,00;;2700,00;;0,40;;0,35;
Essai21;0,85;;0,95;;3240,00;;3120,00;;0,33;;0,35;
Essai22;1,12;;1,50;;3360,00;;3000,00;;0,33;;0,62;
Essai23;0,42;;0,92;;3780,00;;3180,00;;0,35;;0,42;
Essai24;1,73;;1,17;;2820,00;;3240,00;;0,38;;0,35;
Essai25;1,08;;0,95;;4500,00;;2880,00;;0,35;;0,33;
Essai26;1,17;;1,05;;3180,00;;3120,00;;0,35;;0,33;
Essai27;1,20;;1,05;;3480,00;;3660,00;;0,35;;0,43;
Essai28;1,07;;0,93;;3900,00;;2400,00;;0,42;;0,40;
Essai29;1,52;;1,08;;2340,00;;2880,00;;0,45;;0,43;
Essai30;1,62;;1,18;;2460,00;;2940,00;;0,38;;0,30;
Essai31;1,28;;1,05;;2760,00;;3000,00;;0,32;;0,32;
Essai32;0,83;;1,38;;3600,00;;2400,00;;0,30;;0,42;
Essai33;1,13;;1,03;;2280,00;;4320,00;;0,48;;0,42;
Essai34;1,05;;1,17;;4320,00;;2460,00;;0,37;;0,35;
Essai35;0,88;;1,32;;4740,00;;2820,00;;0,32;;0,33;
Essai36;0,93;;1,30;;3000,00;;5340,00;;0,30;;0,32;
Essai37;0,95;;1,13;;4440,00;;4920,00;;0,32;;0,42;
Essai38;1,07;;1,05;;3120,00;;6660,00;;0,30;;0,35;
Essai39;1,13;;1,02;;1920,00;;3180,00;;0,37;;0,40;
Essai40;1,02;;0,62;;3720,00;;960,00;;0,35;;0,02;
Essai41;0,78;;1,37;;5280,00;;2640,00;;0,35;;0,02;
Essai42;1,08;;1,07;;3420,00;;3660,00;;0,33;;0,43;
Essai43;0,88;;1,27;;4440,00;;3000,00;;0,27;;0,33;
Essai44;1,08;;1,15;;2940,00;;2700,00;;0,48;;0,30;
Essai45;1,32;;1,10;;4320,00;;3180,00;;0,40;;0,37;
Essai46;1,12;;1,33;;3300,00;;2940,00;;0,42;;0,33;
Essai47;1,18;;1,18;;4140,00;;3360,00;;0,43;;0,40;
Essai48;0,90;;1,33;;2820,00;;2940,00;;0,38;;0,45;
Essai49;1,10;;1,03;;2460,00;;2820,00;;0,30;;0,38;
Essai50;1,33;;1,25;;4800,00;;2700,00;;0,52;;0,33;
Essai51;0,73;;1,07;;3540,00;;4200,00;;0,03;;0,35;
Essai52;0,78;;1,37;;8040,00;;2340,00;;0,35;;0,35;
Essai53;1,07;;0,92;;2700,00;;3000,00;;0,35;;0,33;
Essai54;1,20;;1,02;;3660,00;;2880,00;;0,50;;0,42;
Essai55;1,32;;1,05;;2700,00;;2820,00;;0,35;;0,33;
Essai56;1,02;;1,02;;2400,00;;3900,00;;0,32;;0,33;
Essai57;1,03;;1,15;;3360,00;;6120,00;;0,33;;0,47;
Essai58;1,05;;1,18;;4500,00;;2040,00;;0,37;;0,40;
Essai59;0,83;;0,90;;3780,00;;4320,00;;0,28;;0,35;
Moyenne;1,08;1,12;1,13;1,13;3309,00;2922,00;2892,00;3228,00;0,36;0,38;0,35;0,37
;;;;;;;;;;;;
;;;;;;;;moy RT vrai;0,36;;;
