Essai,GO,Rest
Essai1,0.6833333333333333,sansclique
Essai2,0.7166666666666667,sansclique
Essai3,1.0,sansclique
Essai4,0.7166666666666667,sansclique
Essai5,0.7166666666666667,sansclique
Essai6,1.25,sansclique
Essai7,0.85,sansclique
Essai8,0.8333333333333334,sansclique
Essai9,0.8166666666666667,sansclique
Essai10,0.9,sansclique
Essai11,1.05,sansclique
Essai12,0.7166666666666667,sansclique
Essai13,0.6,sansclique
Essai14,0.7333333333333333,sansclique
Essai15,0.7333333333333333,sansclique
Essai16,0.7166666666666667,sansclique
Essai17,0.8,sansclique
Essai18,0.9,sansclique
Essai19,0.6166666666666667,sansclique
Essai20,0.8,sansclique
Essai21,sansclique,sansclique
Essai22,sansclique,sansclique
Essai23,0.8,sansclique
Essai24,1.8,sansclique
Essai25,0.8,sansclique
Essai26,0.75,sansclique
Essai27,0.7833333333333333,sansclique
Essai28,0.7666666666666667,sansclique
Essai29,0.75,sansclique
Essai30,0.7,sansclique
