Essai,GO,Vmax GO,Rest,Vmax Rest
Essai1,sansclique,14940.0,0.75,600.0
Essai2,0.8,2460.0,1.0833333333333333,2700.0
Essai3,sansclique,17760.0,sansclique,22860.0
Essai4,sansclique,17760.0,0.75,3300.0
Essai5,sansclique,17760.0,0.8166666666666667,2820.0
Essai6,0.6333333333333333,3000.0,1.1666666666666667,1920.0
Essai7,sansclique,17040.0,sansclique,16620.0
Essai8,0.5833333333333334,4320.0,sansclique,14940.0
Essai9,0.6,2460.0,sansclique,17760.0
Essai10,sansclique,18420.0,sansclique,17760.0
Essai11,sansclique,19980.0,sansclique,17760.0
Essai12,sansclique,15000.0,sansclique,17760.0
Essai13,sansclique,20460.0,sansclique,17760.0
Essai14,0.7,4680.0,0.6666666666666666,3840.0
Essai15,0.9,2820.0,sansclique,14760.0
Essai16,sansclique,24480.0,0.65,2940.0
Essai17,sansclique,5940.0,0.7166666666666667,2700.0
Essai18,0.7166666666666667,2340.0,0.6666666666666666,4080.0
Essai19,sansclique,3840.0,0.7333333333333333,2760.0
Essai20,0.7166666666666667,5460.0,sansclique,7500.0
Essai21,sansclique,24480.0,0.7666666666666667,2340.0
Essai22,sansclique,22320.0,0.8,3720.0
Essai23,0.6666666666666666,3000.0,1.05,2460.0
Essai24,0.6833333333333333,3840.0,0.8833333333333333,2760.0
Essai25,0.55,5520.0,sansclique,22200.0
Essai26,sansclique,20760.0,0.65,5160.0
Essai27,1.5666666666666667,2340.0,sansclique,5940.0
Essai28,1.3833333333333333,2760.0,sansclique,5940.0
Essai29,sansclique,16200.0,sansclique,7140.0
Essai30,sansclique,16200.0,0.7333333333333333,4440.0
