Essai,Cond_0 -7/-45,Cond_1 -4/-40,Cond_2 -2/-35,Cond_3 -1/-30,Cond_4 0/-25,Cond_5 1/-20,Cond_6 2/-15,Cond_7 4/-10,Cond_8 7/-5,Cond_9 -7/0,Cond_10 -4/5,Cond_11 -2/10,Cond_12 -1/15,Cond_13 0/20,Cond_14 1/25,Cond_15 2/30,Cond_16 4/35,Cond_17 7/40
Essai1,left ,right,right,left ,right,left ,left ,left ,left ,right,right,right,right,right,right,left ,left ,right
Essai2,right,right,right,left ,right,right,right,left ,right,left ,left ,right,right,right,left ,right,right,right
Essai3,left ,right,left ,right,right,right,left ,right,right,right,right,right,right,left ,right,right,left ,left 
Essai4,left ,left ,right,right,left ,right,right,right,right,left ,left ,right,right,left ,right,left ,right,left 
Essai5,right,left ,right,left ,left ,right,right,right,left ,right,right,left ,left ,right,right,left ,left ,right
Essai6,right,right,right,left ,right,left ,left ,right,right,right,left ,left ,right,left ,left ,right,left ,right
Essai7,left ,right,left ,right,right,left ,right,left ,left ,right,left ,right,right,right,left ,right,left ,right
Essai8,right,left ,right,left ,left ,left ,right,left ,left ,right,right,right,left ,right,right,left ,right,left 
Essai9,right,left ,right,left ,right,left ,right,left ,right,right,right,left ,left ,left ,right,right,left ,right
Essai10,left ,right,left ,right,left ,left ,right,left ,right,left ,right,right,right,left ,right,left ,left ,right
Essai11,right,right,right,left ,left ,right,right,right,left ,left ,left ,right,right,right,left ,right,right,right
Essai12,right,left ,right,right,right,left ,right,right,left ,left ,right,left ,right,right,right,right,left ,left 
Essai13,right,left ,right,right,right,left ,left ,left ,right,right,left ,left ,left ,left ,left ,right,left ,left 
